query,ground_truth_id,top_1_match,top_1_match_id,top_1_accuracy,top_1_score,precision_at_5
../Real\100__M_Left_index_finger.BMP,100,100__M_Left_index_finger.BMP,100,1,0.9999999868585834,0.2
../Real\100__M_Left_little_finger.BMP,100,100__M_Left_little_finger.BMP,100,1,0.9999999463719031,0.2
../Real\100__M_Left_middle_finger.BMP,100,100__M_Left_middle_finger.BMP,100,1,0.9999999698903789,0.2
../Real\100__M_Left_ring_finger.BMP,100,100__M_Left_ring_finger.BMP,100,1,0.9999999844705393,0.2
../Real\100__M_Left_thumb_finger.BMP,100,100__M_Left_thumb_finger.BMP,100,1,0.9999999887508074,0.2
../Real\100__M_Right_index_finger.BMP,100,100__M_Right_index_finger.BMP,100,1,0.9999999534138212,0.2
../Real\100__M_Right_little_finger.BMP,100,100__M_Right_little_finger.BMP,100,1,0.9999999564953009,0.2
../Real\100__M_Right_middle_finger.BMP,100,100__M_Right_middle_finger.BMP,100,1,0.9999999904568987,0.2
../Real\100__M_Right_ring_finger.BMP,100,100__M_Right_ring_finger.BMP,100,1,0.9999999677657994,0.2
../Real\100__M_Right_thumb_finger.BMP,100,100__M_Right_thumb_finger.BMP,100,1,0.9999999582511808,0.2
../Real\101__M_Left_index_finger.BMP,101,101__M_Left_index_finger.BMP,101,1,0.9999999914298724,0.2
../Real\101__M_Left_little_finger.BMP,101,101__M_Left_little_finger.BMP,101,1,0.999999973036969,0.2
../Real\101__M_Left_middle_finger.BMP,101,101__M_Left_middle_finger.BMP,101,1,0.9999999891654522,0.2
../Real\101__M_Left_ring_finger.BMP,101,101__M_Left_ring_finger.BMP,101,1,0.9999999780494043,0.2
../Real\101__M_Left_thumb_finger.BMP,101,101__M_Left_thumb_finger.BMP,101,1,0.9999999411454216,0.2
../Real\101__M_Right_index_finger.BMP,101,101__M_Right_index_finger.BMP,101,1,0.999999980302676,0.2
../Real\101__M_Right_little_finger.BMP,101,101__M_Right_little_finger.BMP,101,1,0.9999999760430314,0.2
../Real\101__M_Right_middle_finger.BMP,101,101__M_Right_middle_finger.BMP,101,1,0.9999999755700493,0.2
../Real\101__M_Right_ring_finger.BMP,101,101__M_Right_ring_finger.BMP,101,1,0.9999999881923578,0.4
../Real\101__M_Right_thumb_finger.BMP,101,101__M_Right_thumb_finger.BMP,101,1,0.9999999647545309,0.2
../Real\102__M_Left_index_finger.BMP,102,102__M_Left_index_finger.BMP,102,1,0.9999999878993253,0.2
../Real\102__M_Left_little_finger.BMP,102,102__M_Left_little_finger.BMP,102,1,0.9999999702000203,0.2
../Real\102__M_Left_middle_finger.BMP,102,102__M_Left_middle_finger.BMP,102,1,0.9999999692868219,0.2
../Real\102__M_Left_ring_finger.BMP,102,102__M_Left_ring_finger.BMP,102,1,0.9999999515697733,0.2
../Real\102__M_Left_thumb_finger.BMP,102,102__M_Left_thumb_finger.BMP,102,1,0.9999999820409211,0.2
